Tamano  Tiempo(ns)  media_OB  max_OB  min_OB
  2980   524.03    10.00       12     1
  2990   530.64    10.00       12     1
  3000   518.03    10.00       12     1
  3010   520.50    10.00       12     1
  3020   523.64    10.00       12     1
  3030   522.15    10.00       12     1
  3040   515.53    10.00       12     1
  3050   520.49    10.00       12     1
  3060   539.74    10.00       12     1
  3070   527.98    10.00       12     1
  3080   535.32    10.00       12     1
  3090   528.41    10.00       12     1
  3100   537.68    10.00       12     1
  3110   537.78    10.00       12     1
  3120   527.08    10.00       12     1
  3130   519.46    10.00       12     1
  3140   529.94    10.00       12     1
  3150   535.49    10.00       12     1
  3160   540.44    10.00       12     1
  3170   577.57    10.00       12     1
  3180   529.40    10.00       12     1
  3190   534.86    10.00       12     1
  3200   523.50    10.00       12     1
  3210   519.44    10.00       12     1
  3220   524.75    10.00       12     1
  3230   520.99    10.00       12     1
  3240   525.68    10.00       12     1
  3250   528.71    10.00       12     1
  3260   521.35    10.00       12     1
  3270   515.99    10.00       12     1
  3280   518.48    10.00       12     1
  3290   516.41    10.00       12     1
  3300   521.73    10.00       12     1
  3310   519.94    10.00       12     1
  3320   518.55    10.00       12     1
  3330   514.59    10.00       12     1
  3340   515.24    10.00       12     1
  3350   515.01    10.00       12     1
  3360   519.05    10.00       12     1
  3370   525.28    10.00       12     1
  3380   518.76    10.00       12     1
  3390   521.12    10.00       12     1
  3400   517.09    10.00       12     1
  3410   523.11    10.00       12     1
  3420   516.32    10.00       12     1
  3430   520.93    10.00       12     1
  3440   517.59    10.00       12     1
  3450   519.57    10.00       12     1
  3460   515.72    10.00       12     1
  3470   528.13    10.00       12     1
  3480   524.57    10.00       12     1
  3490   523.98    10.00       12     1
  3500   520.66    10.00       12     1
  3510   522.85    10.00       12     1
  3520   523.24    10.00       12     1
  3530   524.82    10.00       12     1
  3540   546.98    10.00       12     1
  3550   520.96    10.00       12     1
  3560   526.38    10.00       12     1
  3570   520.25    10.00       12     1
  3580   525.47    10.00       12     1
  3590   523.90    10.00       12     1
  3600   525.19    10.00       12     1
  3610   524.76    10.00       12     1
  3620   523.56    10.00       12     1
  3630   522.70    10.00       12     1
  3640   528.43    10.00       12     1
  3650   529.15    10.00       12     1
  3660   516.01    10.00       12     1
  3670   519.86    10.00       12     1
  3680   525.46    10.00       12     1
  3690   517.37    10.00       12     1
  3700   521.08    10.00       12     1
  3710   516.85    10.00       12     1
  3720   526.69    10.00       12     1
  3730   520.78    10.00       12     1
  3740   519.28    10.00       12     1
  3750   533.12    10.00       12     1
  3760   529.34    10.00       12     1
  3770   532.44    10.00       12     1
  3780   532.20    10.00       12     1
  3790   534.06    10.00       12     1
  3800   523.66    10.00       12     1
  3810   520.63    10.00       12     1
  3820   518.09    10.00       12     1
  3830   516.01    10.00       12     1
  3840   524.82    10.00       12     1
  3850   519.64    10.00       12     1
  3860   517.23    10.00       12     1
  3870   519.51    10.00       12     1
  3880   517.50    10.00       12     1
  3890   540.72    10.00       12     1
  3900   525.08    10.00       12     1
  3910   530.77    10.00       12     1
  3920   526.73    10.00       12     1
  3930   524.53    10.00       12     1
  3940   514.16    10.00       12     1
  3950   521.65    10.00       12     1
  3960   522.37    10.00       12     1
  3970   530.40    10.00       12     1
  3980   515.25    10.00       12     1
  3990   519.15    10.00       12     1
  4000   532.90    10.00       12     1
  4010   522.07    10.00       12     1
  4020   517.74    10.00       12     1
  4030   518.41    10.00       12     1
  4040   518.74    10.00       12     1
  4050   515.78    10.00       12     1
  4060   522.81    10.00       12     1
  4070   515.28    10.00       12     1
  4080   528.26    10.00       12     1
  4090   535.13    11.00       12     1
  4100   520.10    11.00       13     1
  4110   533.97    11.00       13     1
  4120   534.76    11.00       13     1
  4130   527.68    11.00       13     1
  4140   534.42    11.00       13     1
  4150   541.59    11.00       13     1
  4160   563.65    11.00       13     1
  4170   527.34    11.00       13     1
  4180   525.10    11.00       13     1
  4190   525.66    11.00       13     1
  4200   521.71    11.00       13     1
  4210   525.75    11.00       13     1
  4220   527.20    11.00       13     1
  4230   526.15    11.00       13     1
  4240   528.92    11.00       13     1
  4250   525.13    11.00       13     1
  4260   521.03    11.00       13     1
  4270   525.74    11.00       13     1
  4280   536.17    11.00       13     1
  4290   530.79    11.00       13     1
  4300   524.23    11.00       13     1
  4310   532.90    11.00       13     1
  4320   520.56    11.00       13     1
  4330   523.60    11.00       13     1
  4340   520.16    11.00       13     1
  4350   579.86    11.00       13     1
  4360   533.14    11.00       13     1
  4370   654.90    11.00       13     1
  4380   516.21    11.00       13     1
  4390   521.28    11.00       13     1
  4400   521.39    11.00       13     1
  4410   516.87    11.00       13     1
  4420   553.94    11.00       13     1
  4430   633.84    11.00       13     1
  4440   522.12    11.00       13     1
  4450   522.29    11.00       13     1
  4460   517.33    11.00       13     1
  4470   535.55    11.00       13     1
  4480   534.98    11.00       13     1
  4490   533.92    11.00       13     1
  4500   516.51    11.00       13     1
  4510   519.89    11.00       13     1
  4520   519.16    11.00       13     1
  4530   523.00    11.00       13     1
  4540   518.00    11.00       13     1
  4550   525.36    11.00       13     1
