Tamano  Tiempo(ns)  media_OB  max_OB  min_OB
  212   779.43    106.00       212     1
  213   763.00    107.00       213     1
  214   762.38    107.00       214     1
  215   750.19    108.00       215     1
  216   761.76    108.00       216     1
  217   763.82    109.00       217     1
  218   772.61    109.00       218     1
  219   781.37    110.00       219     1
  220   788.50    110.00       220     1
  221   775.97    111.00       221     1
  222   777.30    111.00       222     1
  223   774.08    112.00       223     1
  224   775.00    112.00       224     1
  225   784.80    113.00       225     1
  226   801.77    113.00       226     1
  227   810.13    114.00       227     1
  228   812.76    114.00       228     1
  229   801.66    115.00       229     1
  230   793.52    115.00       230     1
  231   799.48    116.00       231     1
  232   803.02    116.00       232     1
  233   787.00    117.00       233     1
  234   778.50    117.00       234     1
  235   780.38    118.00       235     1
  236   787.33    118.00       236     1
  237   781.77    119.00       237     1
  238   786.09    119.00       238     1
  239   783.01    120.00       239     1
  240   795.62    120.00       240     1
  241   788.88    121.00       241     1
  242   794.50    121.00       242     1
  243   800.62    122.00       243     1
  244   792.25    122.00       244     1
  245   799.02    123.00       245     1
  246   801.59    123.00       246     1
  247   804.57    124.00       247     1
  248   806.37    124.00       248     1
  249   801.73    125.00       249     1
  250   804.76    125.00       250     1
  251   803.98    126.00       251     1
  252   810.48    126.00       252     1
  253   807.87    127.00       253     1
  254   811.22    127.00       254     1
  255   812.82    128.00       255     1
  256   812.46    128.00       256     1
  257   815.25    129.00       257     1
  258   814.69    129.00       258     1
  259   821.54    130.00       259     1
  260   839.88    130.00       260     1
  261   861.95    131.00       261     1
  262   867.94    131.00       262     1
  263   842.81    132.00       263     1
  264   831.93    132.00       264     1
  265   834.98    133.00       265     1
  266   845.68    133.00       266     1
  267   896.70    134.00       267     1
  268   851.42    134.00       268     1
  269   857.77    135.00       269     1
  270   850.15    135.00       270     1
  271   865.17    136.00       271     1
  272   896.03    136.00       272     1
  273   865.60    137.00       273     1
  274   871.13    137.00       274     1
  275   860.18    138.00       275     1
  276   856.63    138.00       276     1
  277   861.55    139.00       277     1
  278   904.96    139.00       278     1
  279   877.89    140.00       279     1
  280   868.54    140.00       280     1
  281   865.12    141.00       281     1
  282   867.45    141.00       282     1
  283   881.94    142.00       283     1
  284   871.51    142.00       284     1
  285   860.25    143.00       285     1
  286   860.21    143.00       286     1
  287   861.71    144.00       287     1
  288   877.53    144.00       288     1
  289   877.79    145.00       289     1
  290   868.79    145.00       290     1
  291   869.28    146.00       291     1
  292   868.73    146.00       292     1
  293   874.85    147.00       293     1
  294   879.80    147.00       294     1
  295   880.07    148.00       295     1
  296   875.14    148.00       296     1
  297   878.82    149.00       297     1
  298   881.01    149.00       298     1
  299   897.76    150.00       299     1
  300   903.07    150.00       300     1
  301   910.53    151.00       301     1
  302   911.29    151.00       302     1
  303   903.30    152.00       303     1
  304   892.76    152.00       304     1
  305   906.13    153.00       305     1
  306   920.52    153.00       306     1
  307   962.80    154.00       307     1
  308   914.94    154.00       308     1
  309   908.25    155.00       309     1
  310   902.03    155.00       310     1
  311   905.92    156.00       311     1
  312   893.24    156.00       312     1
  313   901.31    157.00       313     1
  314   903.09    157.00       314     1
  315   900.16    158.00       315     1
  316   909.84    158.00       316     1
  317   905.08    159.00       317     1
  318   905.72    159.00       318     1
  319   953.67    160.00       319     1
  320   919.62    160.00       320     1
  321   917.35    161.00       321     1
  322   913.11    161.00       322     1
  323   917.65    162.00       323     1
  324   923.02    162.00       324     1
  325   924.00    163.00       325     1
  326   919.11    163.00       326     1
  327   927.46    164.00       327     1
  328   930.34    164.00       328     1
  329   926.02    165.00       329     1
  330   929.88    165.00       330     1
  331   931.69    166.00       331     1
  332   935.24    166.00       332     1
  333   945.59    167.00       333     1
  334   953.68    167.00       334     1
  335   936.57    168.00       335     1
  336   935.57    168.00       336     1
  337   936.02    169.00       337     1
  338   942.99    169.00       338     1
  339   937.96    170.00       339     1
  340   957.62    170.00       340     1
  341   948.59    171.00       341     1
  342   961.11    171.00       342     1
  343   951.20    172.00       343     1
  344   965.55    172.00       344     1
  345   961.45    173.00       345     1
  346   954.48    173.00       346     1
  347   954.55    174.00       347     1
  348   951.26    174.00       348     1
  349   952.84    175.00       349     1
  350   953.51    175.00       350     1
  351   976.13    176.00       351     1
  352   988.61    176.00       352     1
  353   984.87    177.00       353     1
  354   979.75    177.00       354     1
  355   970.45    178.00       355     1
  356   978.79    178.00       356     1
  357   1003.56    179.00       357     1
  358   1084.64    179.00       358     1
  359   994.29    180.00       359     1
  360   981.92    180.00       360     1
  361   1056.40    181.00       361     1
  362   1026.19    181.00       362     1
  363   977.82    182.00       363     1
  364   990.25    182.00       364     1
  365   1000.25    183.00       365     1
  366   1012.27    183.00       366     1
  367   980.00    184.00       367     1
  368   986.88    184.00       368     1
  369   986.40    185.00       369     1
  370   983.51    185.00       370     1
  371   979.46    186.00       371     1
  372   984.65    186.00       372     1
  373   987.72    187.00       373     1
  374   989.12    187.00       374     1
  375   994.80    188.00       375     1
  376   995.77    188.00       376     1
  377   999.58    189.00       377     1
  378   1002.22    189.00       378     1
  379   994.70    190.00       379     1
  380   1002.00    190.00       380     1
  381   1044.44    191.00       381     1
  382   1008.48    191.00       382     1
  383   998.20    192.00       383     1
  384   1007.01    192.00       384     1
  385   1012.81    193.00       385     1
  386   1016.48    193.00       386     1
  387   1017.55    194.00       387     1
  388   1016.34    194.00       388     1
  389   1008.15    195.00       389     1
  390   1015.67    195.00       390     1
  391   1023.68    196.00       391     1
  392   1025.79    196.00       392     1
  393   1031.58    197.00       393     1
  394   1030.25    197.00       394     1
  395   1037.04    198.00       395     1
  396   1021.82    198.00       396     1
  397   1033.32    199.00       397     1
  398   1027.79    199.00       398     1
  399   1031.15    200.00       399     1
  400   1061.33    200.00       400     1
  401   1031.62    201.00       401     1
  402   1040.20    201.00       402     1
  403   1036.35    202.00       403     1
  404   1032.43    202.00       404     1
  405   1036.84    203.00       405     1
  406   1033.35    203.00       406     1
  407   1043.44    204.00       407     1
  408   1042.16    204.00       408     1
  409   1047.87    205.00       409     1
  410   1047.24    205.00       410     1
  411   1049.32    206.00       411     1
  412   1066.65    206.00       412     1
  413   1061.74    207.00       413     1
  414   1064.37    207.00       414     1
  415   1103.25    208.00       415     1
  416   1058.29    208.00       416     1
  417   1062.30    209.00       417     1
  418   1123.35    209.00       418     1
  419   1082.41    210.00       419     1
  420   1069.79    210.00       420     1
  421   1115.58    211.00       421     1
  422   1075.02    211.00       422     1
  423   1082.93    212.00       423     1
  424   1083.96    212.00       424     1
  425   1077.39    213.00       425     1
  426   1080.70    213.00       426     1
  427   1115.27    214.00       427     1
  428   1078.71    214.00       428     1
  429   1091.82    215.00       429     1
  430   1080.00    215.00       430     1
  431   1085.73    216.00       431     1
  432   1089.70    216.00       432     1
  433   1084.36    217.00       433     1
  434   1095.99    217.00       434     1
  435   1083.06    218.00       435     1
  436   1089.54    218.00       436     1
  437   1102.43    219.00       437     1
  438   1104.47    219.00       438     1
  439   1101.16    220.00       439     1
  440   1094.75    220.00       440     1
  441   1090.36    221.00       441     1
  442   1137.06    221.00       442     1
  443   1166.98    222.00       443     1
  444   1095.90    222.00       444     1
  445   1111.84    223.00       445     1
  446   1103.79    223.00       446     1
  447   1102.57    224.00       447     1
  448   1102.34    224.00       448     1
  449   1100.96    225.00       449     1
  450   1111.07    225.00       450     1
  451   1104.43    226.00       451     1
  452   1112.57    226.00       452     1
  453   1109.45    227.00       453     1
  454   1113.79    227.00       454     1
  455   1118.04    228.00       455     1
  456   1117.19    228.00       456     1
  457   1118.45    229.00       457     1
  458   1116.03    229.00       458     1
  459   1135.38    230.00       459     1
  460   1128.83    230.00       460     1
  461   1132.49    231.00       461     1
  462   1127.40    231.00       462     1
  463   1135.62    232.00       463     1
  464   1128.00    232.00       464     1
  465   1125.61    233.00       465     1
  466   1131.33    233.00       466     1
  467   1133.43    234.00       467     1
  468   1141.47    234.00       468     1
  469   1137.68    235.00       469     1
  470   1136.55    235.00       470     1
  471   1139.53    236.00       471     1
  472   1144.56    236.00       472     1
