Tamano  Tiempo(ns)  media_OB  max_OB  min_OB
  100   34993.00    5049.00       5049     5049
  110   17939.00    6104.00       6104     6104
  120   19676.00    7259.00       7259     7259
  130   22323.00    8514.00       8514     8514
  140   25672.00    9869.00       9869     9869
  150   29182.00    11324.00       11324     11324
  160   32849.00    12879.00       12879     12879
  170   36233.00    14534.00       14534     14534
  180   40447.00    16289.00       16289     16289
  190   44240.00    18144.00       18144     18144
  200   48878.00    20099.00       20099     20099
  210   53383.00    22154.00       22154     22154
  220   58484.00    24309.00       24309     24309
  230   63668.00    26564.00       26564     26564
  240   69750.00    28919.00       28919     28919
  250   74053.00    31374.00       31374     31374
  260   80362.00    33929.00       33929     33929
  270   85064.00    36584.00       36584     36584
  280   90651.00    39339.00       39339     39339
  290   98163.00    42194.00       42194     42194
  300   104238.00    45149.00       45149     45149
